model_id,technology,natural_language,intelligence_type,ring_affinity,primitive_function,sovereign_replacement_candidate,current_status,package_path,organism_placement
F-MRK-001,HTML5,Structures document hierarchy as a living tree of semantic meaning,structure,RING_0_CORE,phi-depth-authority,Nova Semantic Tree Engine,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-002,XML,Encodes structured data exchange through strict hierarchical grammar,validation,RING_1_INNER,zeckendorf-decomposition,Nova Data Grammar Protocol,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-003,SVG,Renders resolution-independent vector geometry from declarative coordinates,geometry,RING_1_INNER,phyllotaxis-layout,Nova Vector Geometry Renderer,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-004,MathML,Expresses mathematical notation as structured semantic markup,structure,RING_2_MIDDLE,fibonacci-hash,Nova Mathematical Notation Engine,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-005,XHTML,Enforces strict XML compliance on document structure for deterministic parsing,validation,RING_1_INNER,zeckendorf-decomposition,Nova Strict Document Parser,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-006,Web Components,Encapsulates reusable UI primitives as autonomous custom elements,encapsulation,RING_0_CORE,golden-cascade,Nova Sovereign Component Shell,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-007,Shadow DOM,Isolates component internals behind an encapsulation boundary,encapsulation,RING_0_CORE,phi-depth-authority,Nova Shadow Boundary Isolator,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-008,Template Literals,Generates dynamic markup fragments through interpolated string projection,generative,RING_2_MIDDLE,fibonacci-sphere,Nova Template Projection Engine,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-009,Custom Elements,Registers new element types that extend the browser's native vocabulary,encapsulation,RING_1_INNER,golden-cascade,Nova Element Registry,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-MRK-010,Semantic HTML,Assigns meaning-bearing roles to document regions for accessible interpretation,structure,RING_0_CORE,phi-depth-authority,Nova Semantic Role Assigner,ACTIVE,@organism/frontend-intelligence/markup,D0_Foundational
F-STY-011,CSS3,Cascades visual styling rules through specificity-weighted inheritance,cascade,RING_0_CORE,golden-cascade,Nova Cascade Style Resolver,ACTIVE,@organism/frontend-intelligence/styling,D1_Structural
