dataset_id,dataset_name,parent_org,version,dataset_class,primary_domain,secondary_domains,scale,modality,license_type,ring_affinity,organism_placement,routing_priority,wire_protocol,dataset_status
AID-001,Common Crawl,Common Crawl Foundation,2024.Q2,Web Corpus,Pre-training text,"multilingual / web knowledge / factual grounding",Frontier (>1T tokens),Text,Open (CC-BY / public domain),Memory Ring,Organism core / knowledge layer,P0 — foundation data,data-wire/commoncrawl,active
AID-002,The Pile,EleutherAI,1.0,Curated Multi-Source Corpus,Pre-training text,"academic / code / web / books / patents",Large (825 GiB),Text,Open (MIT + mixed source),Memory Ring,Organism core / knowledge layer,P1 — sovereign data,data-wire/eleutherai,active
AID-003,RedPajama,Together AI,2.0,Open Reproduction Corpus,Pre-training text,"web / code / academic / books / conversation",Frontier (>1T tokens),Text,Open (Apache 2.0),Memory Ring,Organism core / knowledge layer,P0 — foundation data,data-wire/together,active
AID-004,RefinedWeb,Falcon / TII,1.0,Quality-Filtered Web Corpus,Pre-training text,"web text / deduplicated / filtered",Frontier (5T tokens),Text,Open (ODC-By),Sovereign Ring,Organism core / sovereign compute layer,P1 — sovereign data,data-wire/tii,active
AID-005,StarCoder Data,BigCode / Hugging Face,1.0,Code Corpus,Code pre-training,"multi-language code / git commits / issues / docs",Large (6.4 TB),Text + Code,Open (Apache 2.0),Build Ring,Frontend organism / packaging layer,P0 — code data,data-wire/bigcode,active
AID-006,LAION-5B,LAION,5B,Image-Text Pairs,Vision pre-training,"image classification / generation / retrieval / CLIP alignment",Frontier (5.85B pairs),Image + Text,Open (CC-BY 4.0),Geometry Ring,Frontend organism / scene layer,P0 — vision data,data-wire/laion,active
AID-007,ImageNet,Stanford / Princeton,21K,Labeled Image Classification,Vision benchmarking,"object recognition / transfer learning / feature extraction",Standard (14M images / 21K classes),Image + Labels,Research (custom license),Geometry Ring,Frontend organism / scene layer,P1 — benchmark data,data-wire/imagenet,active
AID-008,COCO,Microsoft,2017,Object Detection + Captioning,Vision understanding,"detection / segmentation / keypoints / captions",Standard (330K images),Image + Text + Annotations,Open (CC-BY 4.0),Geometry Ring,Frontend organism / scene layer,P1 — benchmark data,data-wire/coco,active
AID-009,OpenWebMath,Together AI,1.0,Mathematical Web Corpus,Math reasoning,"LaTeX / proofs / equations / mathematical web content",Large (14.7B tokens),Text + Math,Open (ODC-By),Proof Ring,Organism core / reasoning layer,P1 — math data,data-wire/openwebmath,active
AID-010,MATH,UC Berkeley,1.0,Competition Math Problems,Math benchmarking,"algebra / geometry / number theory / calculus / probability",Standard (12.5K problems),Text + Math,Open (MIT),Proof Ring,Organism core / reasoning layer,P1 — benchmark data,data-wire/math-bench,active
AID-011,HumanEval,OpenAI,1.0,Code Generation Benchmark,Code evaluation,"Python function completion / unit testing / correctness",Standard (164 problems),Code + Tests,Open (MIT),Build Ring,Frontend organism / packaging layer,P0 — code benchmark,data-wire/humaneval,active
AID-012,MMLU,UC Berkeley,1.0,Multi-task Knowledge Benchmark,General benchmarking,"57 subjects / STEM / humanities / social science / professional",Standard (15.9K questions),Text + Multiple Choice,Open (MIT),Interface Ring,Organism core / reasoning layer,P0 — general benchmark,data-wire/mmlu,active
AID-013,HellaSwag,AI2 / UW,1.0,Commonsense Reasoning Benchmark,Reasoning evaluation,"activity completion / commonsense / physical reasoning",Standard (70K examples),Text,Open (MIT),Interface Ring,Organism core / reasoning layer,P1 — reasoning benchmark,data-wire/hellaswag,active
AID-014,LibriSpeech,OpenSLR,1.0,Speech Recognition Corpus,Audio pre-training,"speech recognition / speaker identification / ASR training",Large (1000 hours),Audio + Text,Open (CC-BY 4.0),Native Capability Ring,Frontend organism / native runtime layer,P1 — audio data,data-wire/librispeech,active
AID-015,Common Voice,Mozilla,16.0,Multilingual Speech Corpus,Audio multilingual,"speech recognition / multilingual / accent diversity",Large (30K+ hours / 120 languages),Audio + Text,Open (CC-0),Native Capability Ring,Frontend organism / native runtime layer,P0 — audio data,data-wire/commonvoice,active
AID-016,WMT Translation,WMT Conference,2024,Parallel Translation Corpus,Machine translation,"bilingual pairs / multilingual / domain-specific translation",Large (100M+ sentence pairs),Text (Multilingual),Open (various),Sovereign Ring,Organism core / multilingual layer,P1 — translation data,data-wire/wmt,active
AID-017,SQuAD,Stanford,2.0,Reading Comprehension,QA evaluation,"extractive QA / unanswerable detection / comprehension",Standard (150K questions),Text + Spans,Open (CC-BY-SA 4.0),Memory Ring,Frontend organism / knowledge layer,P1 — QA benchmark,data-wire/squad,active
AID-018,Natural Questions,Google,1.0,Open-Domain QA,QA training,"real user queries / long answers / short answers / Wikipedia",Large (307K queries),Text + HTML,Open (Apache 2.0),Memory Ring,Frontend organism / knowledge layer,P1 — QA data,data-wire/naturalq,active
