protocol_id,name,latin_designation,tier,primary_function,engines,engine_count,adaptive_params,encryption_integration,contract_enforcement,ring_affinity,routing_priority,modalities,status
PRT-001,Intelligence Routing Protocol,Protocollum Itineris Intelligentiae,Core Protocol,Intelligent engine routing and selection,"Nova Cognos / Nova Profundis / Nova Stratos",3,routing_threshold / fusion_weight_decay / latency_tolerance_ms,Fibonacci hash verification of routing decisions,Every routing decision is logged with φ-weighted audit trail,Interface Ring,P0 — primary alpha,"Text / Text + Vision + Audio",active
PRT-002,Encryption Intelligence Protocol,Protocollum Cryptographiae Intelligentis,Core Protocol,Adaptive intelligent encryption,"Nova Custodis / Nova Cognos / Nova Stratos",3,sensitivity_threshold / cascade_rounds / phantom_activation_threshold,Self-encrypting: uses its own output to encrypt its own state,Every encryption decision audited via intelligence contract,Counsel Ring,P0 — safety alpha,"Text / Text → Safety",active
PRT-003,Memory Intelligence Protocol,Protocollum Memoriae Intelligentis,Core Protocol,Intelligent memory management,"Nova Vector / Nova Ranker / Nova Memoria / Nova Visio / Nova Profundis",5,memory_retention_phi / consolidation_interval_ms / max_memory_vectors,All memories encrypted with φ-cascade before storage,Memory integrity verified via Fibonacci hash chain,Memory Ring,P0 — embedding alpha,"Text → Vector / Text → Score / Text / Multi → Embedding",active
PRT-004,Safety Intelligence Protocol,Protocollum Securitatis Intelligentis,Core Protocol,Intelligent content safety,"Nova Custodis / Nova Profundis / Nova Stratos",3,toxicity_threshold / injection_sensitivity / consensus_required,Safety decisions encrypted with E8 lattice for tamper-proofing,"Multi-engine consensus contract: 2/3 engines must agree on safety",Counsel Ring,P0 — safety alpha,"Text → Safety / Text / Text + Vision",active
PRT-005,Fusion Chain Protocol,Protocollum Catenarum Fusionis,Orchestration Protocol,Multi-engine fusion orchestration,"Nova Cognos / Nova Fusio / Nova Structura",3,max_chain_length / chain_phi_decay / parallel_threshold,Chain proofs encrypted with Fibonacci hash sequence,Each chain step verified via chain-of-thought proof contract,Interface Ring,P0 — primary alpha,"Text + Vision + Audio / Text + Vision + Audio + Video / Text",active
PRT-006,Cross-Modal Bridge Protocol,Protocollum Pontis Intermodalis,Orchestration Protocol,Intelligent cross-modal translation,"Nova Fusio / Nova Pictor / Nova Kinema / Nova Vox / Nova Harmonia",5,bridge_quality_threshold / max_hops / preservation_weight,Cross-modal proofs encrypted with φ-cascade,Output attestation at each modality hop,Geometry Ring,P0 — primary alpha,"Text + Vision + Audio + Video / Text → Image / Text → Video / Text → Audio / Audio → Text",active
PRT-007,Sovereign Execution Protocol,Protocollum Executionis Sovereignae,Orchestration Protocol,Sovereign-only execution enforcement,"Nova Cognos / Nova Stratos / Nova Lingua / Nova Structura",4,privacy_score_threshold / latency_budget_ms / cost_weight,Sovereign seal encryption for all local execution,"Sovereign execution contract: verifies no data leaves Nova substrate",Sovereign Ring,P0 — primary alpha,"Text",active
PRT-008,Consensus Verification Protocol,Protocollum Consensus Verificationis,Verification Protocol,Multi-engine consensus verification,"Nova Cognos / Nova Profundis / Nova Fusio / Nova Structura",4,consensus_threshold / disagreement_escalation / hallucination_sensitivity,All consensus votes encrypted with φ-cascade,Multi-engine consensus contract with φ-weighted voting,Proof Ring,P0 — primary alpha,"Text / Text + Vision / Text + Vision + Audio",active
PRT-009,Chain-of-Thought Proof Protocol,Protocollum Probationis Cogitationis,Verification Protocol,AI reasoning chain verification,"Nova Formalis / Nova Profundis / Nova Algorithmus",3,step_validity_threshold / max_proof_depth / formal_rigor_level,Chain proofs stored with Fibonacci hash integrity,Every reasoning step verified and signed by proof contract,Proof Ring,P0 — primary alpha,"Text / Text → Math / Text → Code",active
PRT-010,Output Attestation Protocol,Protocollum Attestationis Exituum,Verification Protocol,AI output attestation and certification,"Nova Vector / Nova Custodis / Nova Stratos",3,fingerprint_granularity / tamper_sensitivity / quality_threshold,"Attestation seals encrypted with E8 lattice + Fibonacci hash",Immutable attestation contract with blockchain verification,Proof Ring,P0 — primary alpha,"Text / Text → Vector / Text → Safety",active
