family_id,family_name,parent_org,alpha_model,alpha_version,intelligence_class,primary_capability,secondary_capabilities,parameter_class,context_window,modality,ring_affinity,organism_placement,routing_priority,wire_protocol,engine_status
AIF-001,GPT,OpenAI,GPT-4o,2024.08,Generative Transformer Intelligence,Multi-modal reasoning,"code generation / vision / audio / function calling / structured output",Frontier (>100B),128K tokens,Text + Vision + Audio,Interface Ring,Organism core / reasoning layer,P0 — primary alpha,intelligence-wire/openai,active
AIF-002,Claude,Anthropic,Claude 3.5 Sonnet,2024.06,Constitutional AI Intelligence,Long-context reasoning,"code generation / analysis / vision / structured output / safety-first",Frontier (>100B),200K tokens,Text + Vision,Interface Ring,Organism core / reasoning layer,P0 — primary alpha,intelligence-wire/anthropic,active
AIF-003,Gemini,Google DeepMind,Gemini 1.5 Pro,2024.05,Multi-modal Fusion Intelligence,Native multi-modal reasoning,"code generation / vision / audio / video / long-context / grounding",Frontier (>100B),2M tokens,Text + Vision + Audio + Video,Interface Ring,Organism core / reasoning layer,P0 — primary alpha,intelligence-wire/google,active
AIF-004,Llama,Meta,Llama 3.1 405B,2024.07,Open-Weight Transformer Intelligence,Open-source frontier reasoning,"code generation / multilingual / instruction following / tool use",Open Frontier (405B),128K tokens,Text,Sovereign Ring,Organism core / sovereign compute layer,P1 — sovereign alpha,intelligence-wire/meta,active
AIF-005,Mistral,Mistral AI,Mistral Large 2,2024.07,Efficient Frontier Intelligence,Efficient high-capability reasoning,"code generation / multilingual / function calling / JSON mode",Frontier (>100B),128K tokens,Text,Interface Ring,Organism core / reasoning layer,P1 — secondary alpha,intelligence-wire/mistral,active
AIF-006,Command R,Cohere,Command R+,2024.04,Retrieval-Augmented Intelligence,Enterprise RAG reasoning,"search grounding / citation / multilingual / tool use",Frontier (>100B),128K tokens,Text,Memory Ring,Frontend organism / knowledge layer,P1 — RAG alpha,intelligence-wire/cohere,active
AIF-007,Phi,Microsoft Research,Phi-3 Medium,2024.05,Small Language Model Intelligence,Efficient edge reasoning,"code generation / math / reasoning at small scale",Compact (14B),128K tokens,Text,Sovereign Ring,Organism core / edge compute layer,P2 — edge alpha,intelligence-wire/microsoft,active
AIF-008,Gemma,Google DeepMind,Gemma 2 27B,2024.06,Open Small Model Intelligence,Open efficient reasoning,"code generation / instruction following / safety",Compact (27B),8K tokens,Text,Sovereign Ring,Organism core / edge compute layer,P2 — edge alpha,intelligence-wire/google-open,active
AIF-009,Qwen,Alibaba Cloud,Qwen2 72B,2024.06,Multilingual Transformer Intelligence,Multilingual reasoning,"code generation / math / multilingual / long-context",Large (72B),128K tokens,Text,Interface Ring,Organism core / multilingual layer,P2 — multilingual alpha,intelligence-wire/alibaba,active
AIF-010,DBRX,Databricks,DBRX 132B,2024.03,Mixture-of-Experts Intelligence,Efficient MoE reasoning,"code generation / SQL / data analysis / retrieval",MoE (132B/36B active),32K tokens,Text,Build Ring,Frontend organism / data layer,P2 — data alpha,intelligence-wire/databricks,active
AIF-011,Falcon,TII (UAE),Falcon 180B,2023.09,Open Multilingual Intelligence,Multilingual open reasoning,"multilingual / instruction following / long-form generation",Open Frontier (180B),4K tokens,Text,Sovereign Ring,Organism core / sovereign compute layer,P3 — reserve alpha,intelligence-wire/tii,active
AIF-012,Yi,01.AI,Yi-34B,2024.03,Dense Bilingual Intelligence,Chinese-English bilingual reasoning,"bilingual / code / math / long-context",Large (34B),200K tokens,Text,Interface Ring,Organism core / multilingual layer,P3 — bilingual alpha,intelligence-wire/01ai,active
AIF-013,Stable Diffusion,Stability AI,SDXL Turbo,2024.02,Diffusion Generation Intelligence,Image generation from text,"image synthesis / inpainting / img2img / controlnet",Diffusion (3.5B),77 tokens (prompt),Text → Image,Geometry Ring,Frontend organism / scene layer,P1 — vision-gen alpha,intelligence-wire/stability,active
AIF-014,DALL-E,OpenAI,DALL-E 3,2023.10,Prompt-Guided Diffusion Intelligence,High-fidelity image generation,"image synthesis / text rendering / style control",Diffusion (>10B),4000 chars (prompt),Text → Image,Geometry Ring,Frontend organism / scene layer,P1 — vision-gen alpha,intelligence-wire/openai-vision,active
AIF-015,Midjourney,Midjourney,Midjourney v6,2024.01,Aesthetic Diffusion Intelligence,Aesthetic-optimized image generation,"image synthesis / style transfer / upscaling / variation",Diffusion (est. >10B),6000 chars (prompt),Text → Image,Geometry Ring,Frontend organism / scene layer,P2 — aesthetic alpha,intelligence-wire/midjourney,active
AIF-016,Whisper,OpenAI,Whisper Large v3,2023.11,Speech Recognition Intelligence,Multilingual speech-to-text,"transcription / translation / timestamp / language detection",Compact (1.5B),30s chunks,Audio → Text,Native Capability Ring,Frontend organism / native runtime layer,P1 — audio alpha,intelligence-wire/openai-audio,active
AIF-017,ElevenLabs,ElevenLabs,Turbo v2.5,2024.04,Voice Synthesis Intelligence,Natural voice generation,"text-to-speech / voice cloning / emotion control / streaming",Proprietary,5000 chars,Text → Audio,Native Capability Ring,Frontend organism / native runtime layer,P1 — voice alpha,intelligence-wire/elevenlabs,active
AIF-018,Suno,Suno,Suno v3.5,2024.06,Music Generation Intelligence,AI music composition,"music generation / lyrics / vocals / instrumentation",Proprietary,3000 chars (prompt),Text → Audio,Geometry Ring,Frontend organism / scene layer,P2 — music alpha,intelligence-wire/suno,active
AIF-019,Codex / Copilot,OpenAI / GitHub,GPT-4o (code-tuned),2024.08,Code Generation Intelligence,Autonomous code generation,"code completion / refactoring / debugging / documentation / testing",Frontier (>100B),128K tokens,Text → Code,Build Ring,Frontend organism / packaging layer,P0 — code alpha,intelligence-wire/github,active
AIF-020,CodeLlama,Meta,CodeLlama 70B,2024.01,Open Code Intelligence,Open-source code generation,"code completion / infilling / instruction / multi-language",Open Large (70B),16K tokens,Text → Code,Build Ring,Frontend organism / packaging layer,P2 — open-code alpha,intelligence-wire/meta-code,active
AIF-021,DeepSeek,DeepSeek,DeepSeek-V2,2024.05,Mixture-of-Experts Code Intelligence,Efficient code + math reasoning,"code generation / math / reasoning / MoE efficiency",MoE (236B/21B active),128K tokens,Text,Build Ring,Frontend organism / packaging layer,P2 — efficient-code alpha,intelligence-wire/deepseek,active
AIF-022,Perplexity,Perplexity AI,Perplexity Online,2024.08,Search-Augmented Intelligence,Real-time search + reasoning,"web search / citation / fact-checking / real-time data",Proprietary,128K tokens,Text + Search,Transport Ring,Frontend organism / channel layer,P1 — search alpha,intelligence-wire/perplexity,active
AIF-023,Grok,xAI,Grok-2,2024.08,Real-Time Social Intelligence,Real-time social reasoning,"social media analysis / real-time data / humor / unfiltered",Frontier (>100B),128K tokens,Text + Social,Transport Ring,Frontend organism / channel layer,P2 — social alpha,intelligence-wire/xai,active
AIF-024,Inflection,Inflection AI,Pi,2024.03,Empathic AI Intelligence,Conversational empathy,"emotional intelligence / therapy-adjacent / long conversation",Frontier (>100B),Unlimited (session),Text,Memory Ring,Frontend organism / memory layer,P2 — empathy alpha,intelligence-wire/inflection,active
AIF-025,Jamba,AI21 Labs,Jamba 1.5,2024.08,Hybrid SSM-Transformer Intelligence,Long-context hybrid reasoning,"Mamba + Transformer hybrid / long-context / efficiency",Hybrid (52B),256K tokens,Text,Memory Ring,Frontend organism / memory layer,P2 — hybrid alpha,intelligence-wire/ai21,active
AIF-026,Sora,OpenAI,Sora,2024.02,Video Generation Intelligence,Text-to-video generation,"video synthesis / scene generation / physics simulation / camera control",Diffusion Transformer,Text prompt,Text → Video,Geometry Ring,Frontend organism / scene layer,P1 — video-gen alpha,intelligence-wire/openai-video,preview
AIF-027,Runway,Runway,Gen-3 Alpha,2024.06,Video Intelligence,AI video editing + generation,"video generation / motion brush / text-to-video / image-to-video",Proprietary,Text + Image,Multi → Video,Geometry Ring,Frontend organism / scene layer,P2 — video-edit alpha,intelligence-wire/runway,active
AIF-028,Pika,Pika Labs,Pika 1.0,2024.03,Motion Generation Intelligence,Text/image to video motion,"video generation / lip sync / motion control",Proprietary,Text + Image,Multi → Video,Geometry Ring,Frontend organism / scene layer,P3 — motion alpha,intelligence-wire/pika,active
AIF-029,Kling,Kuaishou,Kling,2024.06,Long-Form Video Intelligence,Extended video generation,"long video generation / physics-aware / character consistency",Proprietary,Text prompt,Text → Video,Geometry Ring,Frontend organism / scene layer,P3 — long-video alpha,intelligence-wire/kuaishou,active
AIF-030,AlphaFold,Google DeepMind,AlphaFold 3,2024.05,Protein Structure Intelligence,Molecular structure prediction,"protein folding / drug discovery / biomolecular interaction",Specialized,Amino acid sequence,Sequence → Structure,Proof Ring,Organism core / verification layer,P1 — science alpha,intelligence-wire/deepmind-science,active
AIF-031,AlphaCode,Google DeepMind,AlphaCode 2,2023.12,Competitive Programming Intelligence,Algorithmic problem solving,"competitive programming / algorithm design / proof generation",Specialized,Problem statement,Text → Code,Proof Ring,Organism core / verification layer,P2 — algorithm alpha,intelligence-wire/deepmind-code,active
AIF-032,RT-2,Google DeepMind,RT-2-X,2023.10,Robotic Transformer Intelligence,Robotic action generation,"robot control / vision-language-action / manipulation",Specialized,Vision + Language,Multi → Action,Sovereign Ring,Organism core / somatic layer,P2 — robotics alpha,intelligence-wire/deepmind-robotics,preview
AIF-033,Segment Anything,Meta,SAM 2,2024.07,Visual Segmentation Intelligence,Zero-shot image/video segmentation,"object segmentation / tracking / interactive annotation",Specialized (600M),Image/Video,Vision → Masks,Geometry Ring,Frontend organism / scene layer,P1 — segmentation alpha,intelligence-wire/meta-vision,active
AIF-034,CLIP,OpenAI,CLIP ViT-L/14,2023.01,Vision-Language Alignment Intelligence,Image-text alignment,"zero-shot classification / image search / embedding",Specialized (428M),Text + Image,Multi → Embedding,Memory Ring,Frontend organism / memory layer,P1 — embedding alpha,intelligence-wire/openai-embed,active
AIF-035,Florence,Microsoft,Florence-2,2024.06,Unified Vision Intelligence,Multi-task visual understanding,"object detection / segmentation / captioning / OCR / grounding",Specialized (770M),Image,Vision → Multi,Geometry Ring,Frontend organism / scene layer,P2 — multi-vision alpha,intelligence-wire/microsoft-vision,active
AIF-036,Minerva / Llemma,Google / EleutherAI,Llemma 34B,2023.10,Mathematical Reasoning Intelligence,Formal mathematical reasoning,"theorem proving / symbolic math / step-by-step reasoning",Large (34B),4K tokens,Text → Math,Proof Ring,Organism core / verification layer,P2 — math alpha,intelligence-wire/math,active
AIF-037,MusicLM / MusicGen,Google / Meta,MusicGen Large,2024.01,Music Understanding Intelligence,Music generation + understanding,"music generation / melody conditioning / style transfer",Specialized (3.3B),30s audio,Text → Music,Geometry Ring,Frontend organism / scene layer,P3 — music-gen alpha,intelligence-wire/music,active
AIF-038,Embedding Models,Various,text-embedding-3-large,2024.01,Vector Embedding Intelligence,Dense vector representation,"semantic search / clustering / classification / RAG retrieval",Specialized (varies),8K tokens,Text → Vector,Memory Ring,Frontend organism / memory layer,P0 — embedding alpha,intelligence-wire/embeddings,active
AIF-039,Reranking Models,Cohere / Various,Cohere Rerank v3,2024.03,Relevance Scoring Intelligence,Search result reranking,"document reranking / relevance scoring / RAG precision",Specialized,4K tokens,Text → Score,Memory Ring,Frontend organism / memory layer,P1 — rerank alpha,intelligence-wire/rerankers,active
AIF-040,Guard Models,Various,Llama Guard 3,2024.07,Safety Classification Intelligence,Content safety classification,"toxicity detection / prompt injection / jailbreak detection / PII",Specialized (8B),8K tokens,Text → Safety,Counsel Ring,Organism core / governance layer,P0 — safety alpha,intelligence-wire/guards,active
