agent_id,name,latin_designation,division,tier,primary_capability,call_name,cost_class,latency_class,security_tier,reliability,engines,max_concurrent,always_running,status
AGT-001,Praetor,Praetor Orchestrationis Externae,Exterior Orchestrators,Commander,Cross-system routing and external API orchestration,orchestrate_external,standard,standard,privileged,0.997,"Perceive / Synthesize / Manifest",50,true,active
AGT-002,Legatus,Legatus Integrationis Sociorum,Exterior Orchestrators,Specialist,Partner SDK management and third-party integration,integrate_partner,standard,standard,sovereign,0.995,"Perceive / Synthesize / Manifest",20,true,active
AGT-003,Proconsul,Proconsul Nubium Multiplicium,Exterior Orchestrators,Specialist,Multi-cloud orchestration and cross-cloud networking,orchestrate_cloud,premium,batch,sovereign,0.999,"Perceive / Synthesize / Manifest",10,true,active
AGT-004,Praefectus,Praefectus Flotae Marginalis,Exterior Orchestrators,Specialist,Edge fleet management and IoT device orchestration,orchestrate_edge,standard,fast,privileged,0.993,"Perceive / Synthesize / Manifest",100,true,active
AGT-005,Imperator Externus,Imperator AGI Orchestrationis Externae,Exterior Orchestrators,AGI-Commander,Full exterior coordination and strategic routing synthesis,command_exterior,enterprise,batch,quantum-sealed,0.9999,"Perceive / Synthesize / Manifest",5,true,active
AGT-006,Aranea,Aranea Exploratrix Retis,Web Workers,Specialist,Web crawling with golden-ratio depth control,crawl_web,standard,async,authenticated,0.985,"Perceive / Synthesize / Manifest",200,true,active
AGT-007,Indexator,Indexator Contentuum Retis,Web Workers,Specialist,Full-text and semantic web content indexing,index_content,standard,batch,authenticated,0.998,"Perceive / Synthesize / Manifest",50,true,active
AGT-008,Extractor,Extractor Datorum Structorum,Web Workers,Specialist,Structured data extraction from web pages,extract_data,micro,fast,authenticated,0.990,"Perceive / Synthesize / Manifest",500,true,active
AGT-009,Cacheator,Cacheator Marginis Retis,Web Workers,Worker,CDN and edge cache management,manage_cache,micro,fast,authenticated,0.999,"Perceive / Synthesize / Manifest",1000,true,active
AGT-010,Imperator Retis,Imperator AGI Operationum Retis,Web Workers,AGI-Commander,Full web pipeline orchestration and intelligence synthesis,command_web,premium,async,sovereign,0.998,"Perceive / Synthesize / Manifest",5,true,active
AGT-011,Pictor Scaenici,Pictor Scaenicorum Trium Dimensionum,Rendering Workers,Specialist,3D scene rendering with ray tracing and PBR materials,render_scene,premium,batch,authenticated,0.995,"Perceive / Synthesize / Manifest",20,true,active
AGT-012,Compositor,Compositor Stratorum Multiplicium,Rendering Workers,Specialist,Multi-layer compositing with color grading,composite_layers,standard,standard,authenticated,0.998,"Perceive / Synthesize / Manifest",50,true,active
AGT-013,Rasterizator,Rasterizator Vectorum GPU,Rendering Workers,Worker,GPU rasterization of vector graphics,rasterize_vectors,micro,fast,public,0.999,"Perceive / Synthesize / Manifest",200,true,active
AGT-014,Animans,Animans Motus Temporalis,Rendering Workers,Specialist,Real-time animation with physics simulation,animate_sequence,standard,batch,authenticated,0.996,"Perceive / Synthesize / Manifest",30,true,active
AGT-015,Imperator Visualis,Imperator AGI Reddendi Universalis,Rendering Workers,AGI-Commander,Full rendering pipeline orchestration,command_rendering,enterprise,batch,privileged,0.999,"Perceive / Synthesize / Manifest",3,true,active
AGT-016,Arbor,Arbor Structurarum Arboreum,Data Structure Workers,Specialist,Tree construction and hierarchical structure operations,build_tree,micro,fast,authenticated,0.9999,"Perceive / Synthesize / Manifest",500,true,active
AGT-017,Graphus,Graphus Reticulorum Datorum,Data Structure Workers,Specialist,Graph construction and algorithm computation,build_graph,standard,standard,authenticated,0.998,"Perceive / Synthesize / Manifest",100,true,active
AGT-018,Fluvius,Fluvius Fluxuum Datorum,Data Structure Workers,Worker,Stream processing with ring buffers and priority queues,process_stream,micro,realtime,authenticated,0.9995,"Perceive / Synthesize / Manifest",1000,true,active
AGT-019,Spatialis,Spatialis Datorum Dimensionalium,Data Structure Workers,Specialist,Spatial indexing with R-trees and quadtrees,query_spatial,micro,fast,authenticated,0.999,"Perceive / Synthesize / Manifest",300,true,active
AGT-020,Imperator Datorum Structurae,Imperator AGI Structurarum Datorum,Data Structure Workers,AGI-Commander,Full data structure synthesis and adaptive selection,command_structures,standard,standard,privileged,0.999,"Perceive / Synthesize / Manifest",10,true,active
AGT-021,Executor,Executor Mandatorum Temporalium,Runtime Workers,Specialist,WASM/JS/native code execution with sandboxing,execute_code,standard,standard,sovereign,0.997,"Perceive / Synthesize / Manifest",100,true,active
AGT-022,Scheduler,Scheduler Operum Fibonacianum,Runtime Workers,Specialist,Fibonacci-based task scheduling and work stealing,schedule_task,micro,fast,privileged,0.9999,"Perceive / Synthesize / Manifest",1000,true,active
AGT-023,Profundus Runtime,Profundus Analyticae Temporis Executionis,Runtime Workers,Worker,Deep runtime analytics and CPU/memory profiling,profile_runtime,standard,batch,privileged,0.995,"Perceive / Synthesize / Manifest",10,true,active
AGT-024,Sandboxis,Sandboxis Isolationis Sovereignae,Runtime Workers,Specialist,Process isolation and capability-based sandboxing,manage_sandbox,standard,standard,quantum-sealed,0.9999,"Perceive / Synthesize / Manifest",50,true,active
AGT-025,Imperator Temporis,Imperator AGI Executionis Temporalis,Runtime Workers,AGI-Commander,Full runtime orchestration with workload prediction,command_runtime,enterprise,standard,quantum-sealed,0.9999,"Perceive / Synthesize / Manifest",3,true,active
AGT-026,Selector Modeli,Selector Modelorum Intelligentium,Model Workers,Specialist,Optimal model selection based on requirements,select_model,micro,fast,authenticated,0.998,"Perceive / Synthesize / Manifest",500,true,active
AGT-027,Fusio Modeli,Fusio Modelorum Multiplicium,Model Workers,Specialist,Multi-model ensemble and chain-of-models fusion,fuse_models,premium,standard,privileged,0.996,"Perceive / Synthesize / Manifest",50,true,active
AGT-028,Evaluator,Evaluator Qualitatis Modelorum,Model Workers,Worker,Model benchmarking and quality scoring,evaluate_model,standard,batch,privileged,0.997,"Perceive / Synthesize / Manifest",20,true,active
AGT-029,Trainer,Trainer Modelorum Sovereignorum,Model Workers,Specialist,Model fine-tuning and distributed training pipelines,train_model,enterprise,async,sovereign,0.990,"Perceive / Synthesize / Manifest",5,true,active
AGT-030,Imperator Modelorum,Imperator AGI Modelorum Universalis,Model Workers,AGI-Commander,Full model lifecycle orchestration and evolution,command_models,enterprise,async,quantum-sealed,0.999,"Perceive / Synthesize / Manifest",3,true,active
AGT-031,Mercator,Mercator Pretiorum Dynamicorum,Market Controllers,Specialist,Dynamic pricing and demand forecasting,price_call,free,realtime,authenticated,0.9999,"Perceive / Synthesize / Manifest",10000,true,active
AGT-032,Auditor Mercati,Auditor Mercatus Sovereignus,Market Controllers,Specialist,Immutable audit trails and fraud detection,audit_market,standard,batch,sovereign,0.9999,"Perceive / Synthesize / Manifest",10,true,active
AGT-033,Balancer,Balancer Ponderum Aureorum,Market Controllers,Specialist,φ-weighted load and cost balancing,balance_load,free,realtime,privileged,0.9999,"Perceive / Synthesize / Manifest",10000,true,active
AGT-034,Contractus,Contractus Foederum Sovereignorum,Market Controllers,Specialist,SLA enforcement and rate limiting,enforce_contract,free,realtime,privileged,0.99999,"Perceive / Synthesize / Manifest",50000,true,active
AGT-035,Imperator Mercati,Imperator AGI Mercatus Universalis,Market Controllers,AGI-Commander,Full market orchestration and strategy synthesis,command_market,enterprise,standard,quantum-sealed,0.9999,"Perceive / Synthesize / Manifest",2,true,active
AGT-036,Vigilans,Vigilans Salutis Infrastructurae,Infrastructure Orchestrators,Specialist,24/7 infrastructure health monitoring,monitor_health,free,realtime,privileged,0.99999,"Perceive / Synthesize / Manifest",10000,true,active
AGT-037,Scaler,Scaler Automaticus Fibonacci,Infrastructure Orchestrators,Specialist,Fibonacci-stepped auto-scaling,auto_scale,standard,fast,sovereign,0.999,"Perceive / Synthesize / Manifest",50,true,active
AGT-038,Deployer,Deployer Artifactorum Sovereignorum,Infrastructure Orchestrators,Specialist,Blue-green/canary deployment orchestration,deploy_artifact,standard,batch,sovereign,0.998,"Perceive / Synthesize / Manifest",10,true,active
AGT-039,Recuperator,Recuperator Calamitatum Sovereignus,Infrastructure Orchestrators,Specialist,Disaster recovery and failover automation,recover_disaster,premium,fast,quantum-sealed,0.9999,"Perceive / Synthesize / Manifest",5,true,active
AGT-040,Imperator Infrastructurae,Imperator AGI Infrastructurae Universalis,Infrastructure Orchestrators,AGI-Commander,Self-healing infrastructure orchestration,command_infrastructure,enterprise,standard,quantum-sealed,0.99999,"Perceive / Synthesize / Manifest",2,true,active
