domain,tier_id,tier_name,source_file,type_kind,member_count,members
ORGANISM_ARCHITECTURE,T-001,OrganismRing,models/AIFoundationModels.ts,enum,9,INTERFACE | SOVEREIGN | MEMORY | BUILD | GEOMETRY | TRANSPORT | PROOF | NATIVE_CAPABILITY | COUNSEL
ORGANISM_ARCHITECTURE,T-002,DimensionalPlane,intelligence/ObserverIntelligence.ts,enum,5,D0_Foundational | D1_Temporal | D2_Harmonic | D3_CrossDimensional | D4_Transcendent
ORGANISM_ARCHITECTURE,T-003,FrontendRing,Frontend_Frontier_100_Register.csv,csv_column,4,RING_0_CORE | RING_1_INNER | RING_2_MIDDLE | RING_3_OUTER
ORGANISM_ARCHITECTURE,T-004,ArchitecturalLawDomain,Architectural_Laws_Register.csv,csv_column,8,GOLDEN_MATHEMATICS | STRUCTURE | STATE_MEMORY | OBSERVATION | COMPUTATION | SYNCHRONIZATION | COMMUNICATION | ENCRYPTION
ORGANISM_ARCHITECTURE,T-005,LawEnforcementLevel,Architectural_Laws_Register.csv,csv_column,3,IMMUTABLE | CONSTITUTIONAL | ADAPTIVE
ORGANISM_ARCHITECTURE,T-006,LawSourceOrganism,Architectural_Laws_Register.csv,csv_column,3,SOVEREIGN | ARCHITECT | OBSERVER
ORGANISM_ARCHITECTURE,T-007,RenderRingLayout,organism/web/render-worker.js,constant_array,9,Core | Sovereign | Counsel | Memory | Proof | Interface | Geometry | Extension | Frontier
ORGANISM_ARCHITECTURE,T-008,CanisterContract,nova.json,config,7,chrysalis | scribe | architect | nexus | sovereign | observer | terminal
AGENT_WORKFORCE,T-009,AgentDivision,agents/AlphaAgentRegistry.ts,type_union,8,exterior-orchestrators | web-workers | rendering-workers | data-structure-workers | runtime-workers | model-workers | market-controllers | infrastructure-orchestrators
AGENT_WORKFORCE,T-010,AgentTier,agents/AlphaAgentRegistry.ts,type_union,4,Worker | Specialist | Commander | AGI-Commander
AGENT_WORKFORCE,T-011,AgentStatus,agents/AlphaAgentRegistry.ts,type_union,7,running | perceiving | synthesizing | manifesting | scaling | recovering | standby
AGENT_WORKFORCE,T-012,AgentEngineKind,agents/AlphaAgentRegistry.ts,type_union,3,perceive | synthesize | manifest
MARKET_OPERATIONS,T-013,CallCategory,agents/CallRegistry.ts,type_union,6,orchestration | web-intelligence | rendering | data-structures | runtime | model-operations
MARKET_OPERATIONS,T-014,MarketSurface,agents/CallMarket.ts,type_union,3,internal | developer | ai-native
MARKET_OPERATIONS,T-015,MarketPermission,agents/CallMarket.ts,type_union,4,read | invoke | chain | admin
MARKET_OPERATIONS,T-016,CostClass,agents/AlphaAgentRegistry.ts,type_union,5,free | micro | standard | premium | enterprise
MARKET_OPERATIONS,T-017,LatencyClass,agents/AlphaAgentRegistry.ts,type_union,5,realtime | fast | standard | batch | async
MARKET_OPERATIONS,T-018,SecurityTier,agents/AlphaAgentRegistry.ts,type_union,5,public | authenticated | privileged | sovereign | quantum-sealed
FOUNDATION_MODELS,T-019,RoutingPriority,models/AIFoundationModels.ts,enum,4,P0 | P1 | P2 | P3
FOUNDATION_MODELS,T-020,EngineStatus,models/AIFoundationModels.ts,type_union,4,active | preview | deprecated | experimental
FOUNDATION_MODELS,T-021,Modality,models/AIFoundationModels.ts,type_union,22,"Text | Text + Vision | Text + Vision + Audio | Text + Vision + Audio + Video | Text + Search | Text + Social | Text → Image | Text → Code | Text → Audio | Text → Video | Text → Math | Text → Music | Text → Vector | Text → Score | Text → Safety | Audio → Text | Vision → Masks | Vision → Multi | Multi → Video | Multi → Embedding | Multi → Action | Sequence → Structure"
FOUNDATION_MODELS,T-022,IntelligenceClass,AI_Foundation_Model_Register.csv,csv_column,40,"Generative Transformer Intelligence | Constitutional AI Intelligence | Multi-modal Fusion Intelligence | Open-Weight Transformer Intelligence | Mixture-of-Experts Intelligence | Efficient Frontier Intelligence | Hybrid SSM-Transformer Intelligence | Search-Augmented Intelligence | Real-Time Social Intelligence | Diffusion Generation Intelligence | Aesthetic Diffusion Intelligence | Video Generation Intelligence | Long-Form Video Intelligence | Music Generation Intelligence | Music Understanding Intelligence | Visual Segmentation Intelligence | Unified Vision Intelligence | Speech Recognition Intelligence | Voice Synthesis Intelligence | Code Generation Intelligence | Open Code Intelligence | Mixture-of-Experts Code Intelligence | Competitive Programming Intelligence | Vector Embedding Intelligence | Retrieval-Augmented Intelligence | Relevance Scoring Intelligence | Multilingual Transformer Intelligence | Open Multilingual Intelligence | Dense Bilingual Intelligence | Small Language Model Intelligence | Open Small Model Intelligence | Mathematical Reasoning Intelligence | Safety Classification Intelligence | Protein Structure Intelligence | Robotic Transformer Intelligence | Prompt-Guided Diffusion Intelligence | Motion Generation Intelligence | Empathic AI Intelligence | Vision-Language Alignment Intelligence"
FOUNDATION_MODELS,T-023,ParameterClass,AI_Foundation_Model_Register.csv,csv_column,24,"Frontier (>100B) | Open Frontier (405B) | Open Frontier (180B) | Open Large (70B) | Large (72B) | Large (34B) | MoE (236B/21B active) | MoE (132B/36B active) | Hybrid (52B) | Compact (27B) | Compact (14B) | Compact (1.5B) | Diffusion (>10B) | Diffusion (3.5B) | Diffusion (est. >10B) | Diffusion Transformer | Specialized | Specialized (8B) | Specialized (3.3B) | Specialized (770M) | Specialized (600M) | Specialized (428M) | Specialized (varies) | Proprietary"
FOUNDATION_MODELS,T-024,RoutingCapability,organism/web/routing-worker.js,constant_array,14,reasoning | code-generation | vision | audio | image-generation | video-generation | music-generation | voice-synthesis | embedding | search | safety | math | multilingual | robotics
FRONTEND_INTELLIGENCE,T-025,FrontendGroup,models/FrontendIntelligenceModels.ts,enum,10,MARKUP | STYLING | FRAMEWORK | STATE | BUILD | TESTING | GRAPHICS | COMMUNICATION | STORAGE | WEB_API
FRONTEND_INTELLIGENCE,T-026,FrontendIntelligenceType,Frontend_Frontier_100_Register.csv,csv_column,16,structure | validation | geometry | cascade | composition | projection | transform | memory | persistence | verification | raster | stream | proxy | encapsulation | generative | intelligence
FRONTEND_INTELLIGENCE,T-027,FractureCategory,intelligence/FractureRegistry.ts,enum,10,RENDERING | STATE | BUILD | STYLE | LANGUAGE | DATA | NETWORK | SECURITY | TESTING | DEVOPS
LANGUAGE_AI_WORKFORCE,T-028,LanguageAIGroup,marketplace/LanguageAIWorkers.ts,type_union,10,markup | style | frontend | backend | systems | substrate | data | config | query | intelligence
LANGUAGE_AI_WORKFORCE,T-029,AIBuildRole,marketplace/LanguageAIWorkers.ts,type_union,10,parser | generator | renderer | compiler | bundler | linter | tester | deployer | orchestrator | optimizer
LANGUAGE_AI_WORKFORCE,T-030,AITier,marketplace/LanguageAIWorkers.ts,type_union,4,core | specialist | support | experimental
LANGUAGE_AI_WORKFORCE,T-031,AIWorkerStatus,marketplace/LanguageAIWorkers.ts,type_union,6,idle | parsing | generating | rendering | error | complete
LANGUAGE_AI_WORKFORCE,T-032,LanguageEngineKind,marketplace/LanguageAIWorkers.ts,type_union,3,parse | generate | render
NOVA_NATIVE_AI,T-033,NovaAIGroup,marketplace/NativeNovaAIs.ts,reuses_LanguageAIGroup,10,markup | style | frontend | backend | systems | substrate | data | config | query | intelligence
NOVA_NATIVE_AI,T-034,NovaIntelligenceTier,marketplace/NativeNovaAIs.ts,type_union,4,SingleModel | MultiModel | SuperIntelligent | AGI
NOVA_NATIVE_AI,T-035,NovaOperationalMode,marketplace/NativeNovaAIs.ts,type_union,4,autonomous | collaborative | supervisory | orchestrating
NOVA_NATIVE_AI,T-036,NovaAIStatus,marketplace/NativeNovaAIs.ts,type_union,7,dormant | perceiving | synthesizing | manifesting | complete | error | evolving
NOVA_NATIVE_AI,T-037,NovaEngineKind,marketplace/NativeNovaAIs.ts,type_union,3,perceive | synthesize | manifest
PROTOCOL_LAYER,T-038,ProtocolTier,protocols/AIProtocolRegistry.ts,enum,3,CORE | ORCHESTRATION | VERIFICATION
PROTOCOL_LAYER,T-039,AdaptiveMode,protocols/AIProtocolRegistry.ts,type_union,5,STATIC | PHI_ADAPTIVE | KURAMOTO_SYNC | GOLDEN_SPIRAL | FIBONACCI_STEP
EXTENSION_LAYER,T-040,ExtensionClass,extensions/AIExtensionRegistry.ts,enum,5,REASONING | CREATIVE | ANALYSIS | SECURITY | WORKFLOW
EXTENSION_LAYER,T-041,EncryptionMode,extensions/AIExtensionRegistry.ts,type_union,6,NONE | FIBONACCI_HASH | PHI_CASCADE | PHANTOM_ZERO_KNOWLEDGE | E8_LATTICE | SOVEREIGN_SEAL
EXTENSION_LAYER,T-042,ContractType,extensions/AIExtensionRegistry.ts,type_union,6,NONE | INTELLIGENCE_VERIFY | OUTPUT_ATTESTATION | CHAIN_OF_THOUGHT_PROOF | MULTI_MODEL_CONSENSUS | SOVEREIGN_EXECUTION
SOVEREIGN_ENGINE,T-043,NovaEngineId,sdk/NovaEngineModels.ts,type_union,23,NOV-001 | NOV-002 | NOV-003 | NOV-004 | NOV-005 | NOV-006 | NOV-007 | NOV-008 | NOV-009 | NOV-010 | NOV-011 | NOV-012 | NOV-013 | NOV-014 | NOV-015 | NOV-016 | NOV-017 | NOV-018 | NOV-019 | NOV-020 | NOV-021 | NOV-022 | NOV-023
SOVEREIGN_ENGINE,T-044,NovaWireSlug,sdk/NovaEngineModels.ts,type_union,23,cognos | profundis | fusio | lingua | stratos | memoria | vector | codex | pictor | kinema | harmonia | segmentum | scrutator | custodis | ranker | formalis | algorithmus | vox | socialis | empathos | analytica | structura | visio
SOVEREIGN_ENGINE,T-045,NovaModality,sdk/NovaEngineModels.ts,type_union,15,text | vision | audio | video | image-gen | video-gen | audio-gen | music-gen | voice-gen | code | embedding | search | safety | math | structured
SOVEREIGN_ENGINE,T-046,NovaResponseFormat,sdk/NovaEngineModels.ts,type_union,3,text | json | markdown
SOVEREIGN_ENGINE,T-047,NovaFinishReason,sdk/NovaEngineModels.ts,type_union,4,stop | length | function_call | error
SOVEREIGN_ENGINE,T-048,NovaMessageRole,sdk/NovaEngineModels.ts,type_union,4,system | user | assistant | function
SOVEREIGN_ENGINE,T-049,EnginePopupCategory,desktop/NovaPopupController.ts,constant_record,6,Reasoning | Creative | Analysis | Code | Safety | Utility
PHANTOM_BLOCKCHAIN,T-050,StealthLevel,models/PhantomBlockchainModels.ts,type_union,5,VISIBLE | OBSCURED | CLOAKED | PHANTOM | VOID
PHANTOM_BLOCKCHAIN,T-051,EncryptionTier,models/PhantomBlockchainModels.ts,type_union,3,ICOSAHEDRAL | E8 | LEECH
PHANTOM_BLOCKCHAIN,T-052,HashAlgorithm,models/PhantomBlockchainModels.ts,type_union,4,SHA256 | SCRYPT | ETHASH | PHI_CASCADE
PHANTOM_BLOCKCHAIN,T-053,PuzzleType,models/PhantomBlockchainModels.ts,type_union,5,NONCE_DISCOVERY | HASH_COLLISION | MERKLE_PROOF | BLOCK_VALIDATION | DIFFICULTY_TARGET
PHANTOM_BLOCKCHAIN,T-054,PhantomModelFamily,Phantom_Blockchain_Model_Register.csv,csv_column,8,PHANTASMA_NONCIUM | PHANTASMA_HASHIUM | QUAESITOR_NONCII | EXPLORATOR_DIMENSIONALIS | VERIFICATOR_CASCADIS | VALIDITOR_BLOCKI | PROBATOR_MERKLE | ANALYSTOR_DIFFICULTATIS
OBSERVER_INTELLIGENCE,T-055,SubIntelligenceRole,intelligence/ObserverIntelligence.ts,type_union,5,police | caregiver | caretaker | guardian | sentinel
OBSERVER_INTELLIGENCE,T-056,CareActionType,intelligence/ObserverIntelligence.ts,type_union,5,heal | protect | nurture | restore | guide
OBSERVER_INTELLIGENCE,T-057,AlertSeverity,models/ObserverModels.ts,type_union,4,info | warning | anomaly | critical
OBSERVER_INTELLIGENCE,T-058,PipelineStageStatus,models/ObserverModels.ts,type_union,4,pending | running | complete | failed
CANISTER_CHEMISTRY,T-059,CanisterElementId,intelligence/canisters/SovereignCanisters.ts,type_union,12,AU | AG | CR | FE | CU | PT | SI | C | N | O | H | HE
CANISTER_CHEMISTRY,T-060,CanisterType,intelligence/canisters/SovereignCanisters.ts,type_union,5,immutable | conductor | living | structural | primordial
DESKTOP_RUNTIME,T-061,TerminalCommandType,desktop/NovaChatTerminal.ts,type_union,18,chat | engine | open | launch | shell | compare | explain | consensus | engines | status | history | clear | help | file | url | system | apps | unknown
DESKTOP_RUNTIME,T-062,AppPlatform,desktop/NovaAppController.ts,type_union,4,windows | macos | linux | unknown
DESKTOP_RUNTIME,T-063,FileActionType,desktop/NovaAppController.ts,interface_field,7,open | reveal | delete | copy | move | read | write
DESKTOP_RUNTIME,T-064,SystemActionType,desktop/NovaAppController.ts,interface_field,8,volume | brightness | screenshot | lock | sleep | shutdown | restart | notify
DESKTOP_RUNTIME,T-065,AppCategory,desktop/NovaAppController.ts,constant_array,8,browser | editor | terminal | media | communication | office | system | dev
DESKTOP_RUNTIME,T-066,AuditResult,desktop/NovaAppController.ts,interface_field,3,success | failure | blocked
DESKTOP_RUNTIME,T-067,AGIIntent,desktop/NovaDesktopAGI.ts,type_union,26,"reason | analyze_deep | fuse_multimodal | translate | quick_answer | retrieve | embed | code | generate_image | generate_video | generate_audio | segment_vision | search | safety_check | rank | math | algorithm | speak | social | empathize | analyze_data | structure | vision_align | open_app | system_action | unknown"
DESKTOP_RUNTIME,T-068,MiniAIId,desktop/NovaChatMiniAIs.ts,type_union,5,mini-code | mini-backend | mini-math | mini-search | mini-format
DESKTOP_RUNTIME,T-069,NovaOSServiceStatus,desktop/NovaOS.ts,type_union,4,running | stopped | starting | error
BROWSER_EXTENSION,T-070,BrowserType,browser/NovaExtensionRuntime.ts,type_union,5,edge | chrome | firefox | safari | unknown
